Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Perf Week,Perf Month,Perf Quart,Perf Half,Perf YTD,Perf Year,Perf 3Y,Perf 5Y,Perf 10Y,Volatility W,Volatility M,Avg Volume,Rel Volume,Price_perf,Change_perf,Volume_perf,SCORE
CFFN,Capitol Federal Financial,Financial,Banks - Regional,USA,956870000.0,12.96,7.28,-0.0027,994532.0,0.0785,0.0706,0.2165,0.2165,0.0753,0.24969999999999998,-10.37%,-38.20%,-18.82%,0.0345,0.0271,938210.0,1.06,7.28,-0.0027,994532.0,59
DFTX,Definium Therapeutics Inc,Healthcare,Biotechnology,USA,1660000000.0,,16.88,-0.0209,1657321.0,-0.029900000000000003,0.3035,0.3075,0.857,0.2606,1.306,386.46%,-68.65%,-,0.0638,0.0738,2100000.0,0.79,16.88,-0.0209,1657321.0,59
POWI,Power Integrations Inc,Technology,Semiconductors,USA,2540000000.0,146.35,45.94,-0.025,1082575.0,0.0326,0.27649999999999997,0.1073,-0.053200000000000004,0.2926,-0.2228,-45.71%,-50.57%,107.87%,0.0352,0.0406,1040000.0,1.04,45.94,-0.025,1082575.0,58
RRR,Red Rock Resorts Inc,Consumer Cyclical,Resorts & Casinos,USA,6680000000.0,22.36,63.13,0.0109,1196173.0,0.0304,0.0016,0.2073,0.028999999999999998,0.019,0.3508,48.09%,186.60%,-,0.027200000000000002,0.027000000000000003,848950.0,1.41,63.13,0.0109,1196173.0,58
ACRE,Ares Commercial Real Estate Corp,Real Estate,REIT - Mortgage,USA,286690000.0,,5.21,0.0039000000000000003,864773.0,0.0742,0.0547,0.1761,0.1655,0.09,-0.0762,-56.30%,-55.24%,-50.52%,0.0405,0.0313,535420.0,1.62,5.21,0.0039000000000000003,864773.0,58
AVO,Mission Produce Inc,Consumer Defensive,Food Distribution,USA,953500000.0,25.4,13.46,0.0128,494523.0,0.0,0.1603,0.19640000000000002,0.0908,0.1603,0.11699999999999999,8.37%,-17.12%,-,0.025099999999999997,0.038900000000000004,629440.0,0.79,13.46,0.0128,494523.0,58
XPRO,Expro Group Holdings N.V,Energy,Oil & Gas Equipment & Services,USA,1820000000.0,27.09,16.01,-0.013600000000000001,1407628.0,0.0038,0.1833,0.13470000000000001,0.4852,0.1993,0.2325,-15.11%,-11.35%,-80.98%,0.0408,0.042199999999999994,1160000.0,1.22,16.01,-0.013600000000000001,1407628.0,58
MLKN,MillerKnoll Inc,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,1370000000.0,,20.08,0.0335,727349.0,0.025,0.0872,0.25420000000000004,0.057999999999999996,0.09849999999999999,-0.10640000000000001,-11.54%,-43.23%,-20.82%,0.031,0.0322,842870.0,0.86,20.08,0.0335,727349.0,58
FCF,First Commonwealth Financial Corp,Financial,Banks - Regional,USA,1870000000.0,12.27,18.03,0.0129,1211514.0,0.0321,0.0625,0.16399999999999998,0.09210000000000002,0.0694,0.1157,39.66%,43.21%,120.15%,0.0253,0.0241,683870.0,1.77,18.03,0.0129,1211514.0,58
AMN,AMN Healthcare Services Inc,Healthcare,Medical Care Facilities,USA,818210000.0,,21.3,0.055,1370315.0,0.0395,0.32880000000000004,0.0325,0.16140000000000002,0.3515,-0.2175,-78.14%,-71.77%,-25.21%,0.0451,0.06480000000000001,1180000.0,1.16,21.3,0.055,1370315.0,58
GPGI,GPGI Inc,Industrials,Metal Fabrication,USA,6820000000.0,,23.57,-0.0288,2078870.0,-0.0591,0.2257,0.19039999999999999,0.6587000000000001,0.2225,0.8193,392.47%,179.56%,-,0.0455,0.0629,1460000.0,1.42,23.57,-0.0288,2078870.0,57
ICHR,Ichor Holdings Ltd,Technology,Semiconductor Equipment & Materials,USA,1040000000.0,,30.34,-0.0941,946346.0,-0.0344,0.5985,0.2872,0.5331,0.6462,0.11539999999999999,-10.63%,-24.70%,-,0.0748,0.08,846530.0,1.12,30.34,-0.0941,946346.0,57
PUMP,ProPetro Holding Corp,Energy,Oil & Gas Equipment & Services,USA,1190000000.0,,11.49,0.0044,3917816.0,0.050300000000000004,0.2057,0.0351,1.1437,0.2082,0.2289,19.07%,42.73%,-,0.0625,0.0579,2860000.0,1.37,11.49,0.0044,3917816.0,57
TROX,Tronox Holdings plc,Basic Materials,Chemicals,USA,960830000.0,,6.06,-0.08869999999999999,3867587.0,-0.0366,0.4498,0.6648000000000001,0.8996999999999999,0.4532,-0.4111,-63.29%,-63.36%,56.59%,0.07519999999999999,0.0682,4200000.0,0.92,6.06,-0.08869999999999999,3867587.0,57
TWST,Twist Bioscience Corp,Healthcare,Diagnostics & Research,USA,2520000000.0,,41.07,-0.0123,1585511.0,-0.0435,0.2774,0.2751,0.2234,0.2948,-0.17059999999999997,46.78%,-77.92%,-,0.044800000000000006,0.0576,1430000.0,1.11,41.07,-0.0123,1585511.0,57
AZTA,Azenta Inc,Healthcare,Medical Instruments & Supplies,USA,1790000000.0,,38.88,-0.0031,915726.0,-0.0292,0.1435,0.30510000000000004,0.18899999999999997,0.16899999999999998,-0.27190000000000003,-30.48%,-52.27%,317.62%,0.0373,0.0347,659760.0,1.39,38.88,-0.0031,915726.0,57
BE,Bloom Energy Corp,Industrials,Electrical Equipment & Parts,USA,35800000000.0,,151.37,-0.032799999999999996,11489445.0,0.0447,0.7347,0.1321,3.0483999999999996,0.7421,5.7636,498.54%,293.17%,-,0.1001,0.0885,13610000.0,0.84,151.37,-0.032799999999999996,11489445.0,57
STNG,Scorpio Tankers Inc,Energy,Oil & Gas Midstream,Monaco,3290000000.0,10.77,63.62,0.0039000000000000003,730838.0,0.087,0.2548,0.0256,0.4072,0.2516,0.33149999999999996,38.42%,421.90%,8.38%,0.0424,0.0392,1000000.0,0.73,63.62,0.0039000000000000003,730838.0,57
TALO,Talos Energy Inc,Energy,Oil & Gas E&P,USA,2029999999.9999998,,11.92,-0.0141,2494843.0,0.0383,0.0643,0.24559999999999998,0.3942,0.0817,0.2004,-42.00%,22.89%,-91.60%,0.0352,0.04190000000000001,2009999.9999999998,1.24,11.92,-0.0141,2494843.0,57
PTEN,Patterson-UTI Energy Inc,Energy,Oil & Gas Drilling,USA,2860000000.0,,7.53,-0.0013,9039265.0,0.0315,0.23850000000000002,0.1602,0.2741,0.2324,-0.0895,-56.40%,20.87%,-40.57%,0.0363,0.0438,9180000.0,0.98,7.53,-0.0013,9039265.0,57
LPG,Dorian LPG Ltd,Energy,Oil & Gas Midstream,USA,1270000000.0,13.26,29.53,-0.0070999999999999995,672121.0,0.073,0.23399999999999999,0.048,0.0725,0.2132,0.3175,136.01%,445.88%,497.79%,0.037000000000000005,0.0351,504160.0,1.33,29.53,-0.0070999999999999995,672121.0,57
NX,Quanex Building Products Corp,Industrials,Building Products & Equipment,USA,855030000.0,,18.72,0.0027,615574.0,-0.0048,0.2054,0.2928,-0.039,0.21719999999999998,-0.1464,-22.84%,-24.70%,2.35%,0.030600000000000002,0.0366,782750.0,0.79,18.72,0.0027,615574.0,57
DNOW,Dnow Inc,Industrials,Industrial Distribution,USA,2820000000.0,17.36,15.19,0.008,5196598.0,0.0397,0.1294,0.0298,-0.023799999999999998,0.1464,0.012,14.81%,87.30%,17.03%,0.0374,0.0331,2490000.0,2.09,15.19,0.008,5196598.0,57
DOLE,Dole plc,Consumer Defensive,Farm Products,Ireland,1520000000.0,52.21,15.93,0.0044,748406.0,0.0378,0.067,0.2563,0.11869999999999999,0.06269999999999999,0.1611,49.44%,-,-,0.0199,0.0209,871460.0,0.86,15.93,0.0044,748406.0,57
WERN,"Werner Enterprises, Inc",Industrials,Trucking,USA,2049999999.9999998,84.19,34.25,-0.0113,1375497.0,0.0121,0.12960000000000002,0.2737,0.23559999999999998,0.1413,-0.0706,-25.85%,-22.21%,70.90%,0.0398,0.033,1060000.0,1.3,34.25,-0.0113,1375497.0,56
COHU,"Cohu, Inc",Technology,Semiconductor Equipment & Materials,USA,1330000000.0,,28.54,-0.0279,562102.0,0.011000000000000001,0.2027,0.1887,0.598,0.22649999999999998,0.2701,-22.68%,-39.42%,143.10%,0.0406,0.042800000000000005,669600.0,0.84,28.54,-0.0279,562102.0,56
PWP,Perella Weinberg Partners,Financial,Capital Markets,USA,2009999999.9999998,34.46,22.31,-0.0089,1177289.0,0.0187,0.2792,0.1918,0.1189,0.2896,-0.1285,127.42%,80.94%,-,0.0381,0.0452,921690.0,1.28,22.31,-0.0089,1177289.0,56
ASGN,ASGN Inc,Technology,Information Technology Services,USA,2220000000.0,17.56,52.09,0.049100000000000005,776696.0,0.0206,0.0575,0.16920000000000002,0.038900000000000004,0.0814,-0.4412,-40.82%,-42.31%,37.80%,0.0417,0.036000000000000004,554330.0,1.4,52.09,0.049100000000000005,776696.0,56
